trade_date,positions,daily_return,equity
20250318,10,-0.013282275199890097,1.8060921537225942
20250319,10,-0.008238172531127911,1.791213254953111
20250320,10,-0.01030842065811155,1.772748675232669
20250321,10,-0.00829289555549621,1.7580474556228203
20250324,10,0.00539334416389464,1.7675292106074536
20250325,10,-0.0006143391132354504,1.7664433482795912
20250326,10,0.00740491747856141,1.779523715504155
20250327,10,-3.0511617660500342e-05,1.7794694193569296
20250328,10,-0.021375393867492647,1.7414325596430167
20250331,10,0.016042584180831897,1.7693696380763313
20250401,10,-0.00884904265403745,1.7537124106782351
20250402,10,0.00911846756935116,1.7697035804209733
20250403,10,-0.08912239670753476,1.6119833558719507
20250407,10,0.025059568881988493,1.652378963815043
20250408,10,0.02515232563018796,1.6939401375773915
20250409,10,0.020699882507324168,1.729004499399684
20250410,10,-0.013422679901123008,1.7057966254566406
20250411,10,0.00546692013740537,1.7151220793786677
20250414,10,0.00010420680046081856,1.7153008067629596
20250415,10,0.0010478138923645196,1.7170981227778697
20250416,10,0.02444690465927122,1.7590758568760338
20250417,10,-0.0005023360252380281,1.7581922097019984
20250418,10,0.004402577877044669,1.7659327878280247
20250421,10,0.005693209171295151,1.775986612571578
20250422,10,-0.0017211556434631292,1.7729298631906356
20250423,10,-0.0062389552593231,1.7618686330962714
20250424,10,0.006285864114761381,1.7729434999119749
20250425,10,-0.007832944393157949,1.7590561320649536
20250428,10,-0.0008245289325714205,1.7576057393900488
20250429,10,-0.011687201261520352,1.737064247375394
20250430,10,0.02112623453140253,1.7737618740615608
20250506,10,0.00570405721664426,1.7838795132799101
20250507,10,0.00272642374038697,1.7887431247349066
20250508,10,-0.005237275362014781,1.7793749844387592
20250509,10,0.01042776703834529,1.7979298922503457
20250512,10,-0.006922453641891491,1.7854838059198717
20250513,10,0.00315860509872438,1.79112344417294
20250514,10,2.6458501815809775e-05,1.7911708346158397
20250515,10,1.716613769549985e-06,1.7911739093643582
20250516,10,0.02691242098808288,1.839378735676042
20250519,10,0.0014206528663635101,1.8419918543492084
20250520,10,0.00345013737678527,1.8483469792936327
20250521,10,-0.020623135566711394,1.8102282689653386
20250522,10,-0.015360099077224701,1.782422983401638
20250523,10,0.004159986972808801,1.789837839792624
20250526,10,0.007198214530944801,1.8027214765390542
20250527,10,-0.019251126050949065,1.7680170581594479
20250528,10,-0.00484025478363036,1.7594594051361514
